חוק	2166751232	O
זכות	2168848384	O
יוצרים	1109786624	O
,	917513	O
1911	475136	I_DATE

חוק	2166751232	O
הבא	1092681732	O
לתקן	11259050608885760	O
ולאחד	11259050608885762	O
את	262144	O
החוק	1093009412	O
בענין	2166751296	O
זכות	2168848384	O
־	917504	O
יוצרים	2251826156863488	O
.	917632	O

הוד	2166751232	O
מלכותו	110570733174784	O
המלך	1093009412	O
מחוקק	13510825208512512	O
בזה	144115188497973312	O
,	917513	O
בעצתם	114968779685952	O
ובהסכמתם	114968779685954	O
ובהרשאתם	114968779685954	O
של	1966080	O
הלורדים	1109786628	O
הדתיים	1109458948	O
והחילוניים	1109458950	O
ושל	1966082	O
נבחרי	2183528448	O
העם	1093009412	O
שנתכנסו	15762607729082624	O
בפרלמנט	1093009476	O
הזה	144115188497973252	O
,	917513	O
לאמור	1092681796	O
:	919553	O
–	917504	O

חוק	2166751232	O
זכות	2168848384	O
יוצרים	1109786624	O
,	917513	O
,	917513	O
1911	475136	I_DATE
הוחל	9007208267055104	O
על	524288	O
ארץ	2168848384	O
־	917504	O
ישראל	655360	I_LOC
מכוח	2166751296	O
דבר	2166751232	O
המלך	1093009412	O
על	524288	O
חוק	2166751232	O
זכות	2168848384	O
יוצרים	1109786624	O
,	917513	O
1911	475136	I_DATE
(	917512	O
הטלתו	110570733174784	O
על	524288	O
ארץ	2168848384	O
־	917504	O
ישראל	655360	I_LOC
)	917505	O
,	917513	O
1924	475136	I_DATE
.	917632	O

סעיף	1093009408	O
68	475136	O
לחוק	2166751296	O
זכות	2168848384	O
יוצרים	1109786624	O
,	917513	O
התשס"ח	9033285632	O
–	917504	O
ביטל	11259008080740352	O
את	262144	O
דבר	2166751232	O
המלך	1093009412	O
על	524288	O
חוק	2166751232	O
זכות	2168848384	O
יוצרים	1109786624	O
,	917513	O
1911	475136	I_DATE
(	917512	O
הטלתו	110570733174784	O
על	524288	O
ארץ	2168848384	O
־	917504	O
ישראל	655360	I_LOC
)	917505	O
,	917513	O
,	917513	I_MONEY
1924	475136	I_DATE
וחוק	2166751234	I_MONEY
זכות	2168848384	O
יוצרים	1109786624	O
,	917513	O
,	917513	O
1911	475136	I_DATE
לא	327680	O
חל	2251808825999360	O
עוד	131072	O
בישראל	655424	I_LOC
.	917632	O

עם	524288	O
זאת	144115188500070400	O
,	917513	O
סעיף	1093009408	O
78	475136	O
לחוק	2166751296	O
זכות	2168848384	O
יוצרים	1109786624	O
,	917513	O
התשס"ח	9033285632	O
–	917504	O
קובע	2251826140086272	O
כי	36028797019160576	O
הדין	1093009412	O
הישן	1092681732	O
ימשיך	6755434223173632	O
לחול	2251851354144768	O
על	524288	O
יצירות	1111883776	O
ופעולות	1111883778	O
מסוימות	1111556096	O
שנעשו	4503608660656384	O
לפני	524288	O
תחילת	2168848384	O
הדין	1093009412	O
החדש	1092681732	O
.	917632	O

חלק	2166751232	O
א	655360	I_ORG
׳	917504	O
–	917504	O
זכות	2168848384	O
־	917504	O
יוצרים	2251826156863488	O
בממלכה	1095106628	O

זכויות	1111883776	O

זכות	2168848384	O
יוצרים	1109786624	O

1	475136	O
.	917632	O

(	917512	O
1	475136	O
)	917505	O

בהתחשב	15762650236256256	O
עם	524288	O
הוראות	2185625600	O
חוק	1093009408	O
זה	144115188497973248	O
,	917513	O
תהא	524288	O
זכות	2168848384	O
־	917504	O
היוצרים	1109786628	O
קיימת	1094778880	O
במקרים	1109786688	O
דלקמן	131072	O
בכל	6452019264	O
חלקי	2183528448	O
מושבות	2185625600	O
הוד	2166751232	O
מלכותו	110570733174784	O
שחל	2251808825999616	O
עליהן	115654879870976	O
חוק	1093009408	O
זה	144115188497973248	O
למשך	2166751296	O
הזמן	1093009412	O
הנזכר	4503601258561540	O
להלן	131072	O
לגבי	524288	O
יצירות	1111883776	O
[	917512	O
במקור	1093009476	O
האנגלי	1092681732	O
:	919553	O
מקוריות	1111556096	O
]	917505	O
ספרותיות	1111556096	O
,	917513	O
דרמטיות	1111556096	O
,	917513	O
מוזיקליות	1111556096	O
ואמנותיות	1111556098	O
–	917504	O

(	917512	I_LOC
א	655360	I_ORG
)	917505	O

ביצירה	1095106624	O
שיצאה	2251808828096768	O
לאור	1093009472	O
,	917513	O
תהא	524288	O
זכות	2168848384	O
־	917504	O
היוצרים	1109786628	O
קיימת	1094778880	O
אם	18014398509678592	O
היצירה	1095106564	O
יצאה	2251808828096512	O
לאור	524288	O
ראשונה	131072	O
בגבולות	1109786692	O
אותם	115105123794944	O
חלקי	2183528448	O
המושבות	1111883780	O
של	1966080	O
הוד	2166751232	O
מלכותו	110570733174784	O
המוגדרים	1109458948	O
לעיל	131072	O
;	919560	O

(	917512	I_ORG
ב	524288	I_ORG
)	917505	I_ORG

(	917512	O
אינו	1125926099943424	O
חל	2251826140086272	O
בישראל	655424	I_LOC
)	917505	O
.	917632	O

אך	18014398509678592	O
לגבי	524288	O
יצירות	1111883776	O
אחרות	1111556096	O
לא	327680	O
תהא	524288	O
זכות	2168848384	O
־	917504	O
יוצרים	2251826156863488	O
קיימת	1094778880	O
אלא	18014398509678592	O
באותה	111261137371200	O
מדה	655424	O
שההגנה	1095106820	O
הניתנת	4503601260658692	O
עפ"י	524288	O
חוק	2166751232	O
זה	144115188497973248	O
ניתנה	4503608641781760	O
לאותן	115659183882304	O
היצירות	1111883780	O
האחרות	1111556100	O
עפ"י	524288	O
דברי	2183528448	O
מלך	1093009408	O
במועצה	1095106628	O
בנוגע	131072	O
למושבות	2185625664	O
בעלות	2168848384	O
שלטון	1093009408	O
עצמי	1092681728	O
שאין	1125899908088064	O
חוק	1093009408	O
זה	144115188497973248	O
חל	2251808825999360	O
עליהן	115654879870976	O
ובנוגע	131074	O
למדינות	1111883840	O
נכריות	1111556096	O
.	917632	O

(	917512	O
2	475136	O
)	917505	O

לצרכי	2183528512	O
חוק	1093009408	O
זה	144115188497973248	O
,	917513	O
”	917504	O
זכות	2168848384	O
־	917504	O
יוצרים	2251826156863488	O
“	917504	O
פירושו	110570731077632	O
זכות	1095106560	O
יחיד	1092681728	O
להעלות	6755450981515264	O
על	524288	O
הבמה	1095106564	O
את	262144	O
היצירה	1095106564	O
או	18014398509678592	O
חלק	1093009408	O
ניכר	1092681728	O
הימנה	4503642865205248	O
בצורה	1095106624	O
של	1966080	O
ממש	1093009408	O
או	18014398509678592	O
להעתיקה	1095106628	O
ואם	18014398509678594	O
היצירה	1095106564	O
היא	562976148619264	O
הרצאה	1095106560	O
–	917504	O
לקרוא	2251851354144768	O
בצבור	2251801444876356	O
את	262144	O
היצירה	1095106564	O
או	18014398509678592	O
כל	6452019200	O
חלק	1093009408	O
ניכר	1092681728	O
הימנה	4503642865205248	O
;	919560	O
אם	18014398509678592	O
זו	144115188500070400	O
יצירה	1095106560	O
שלא	327936	O
נתפרסמה	15762607710208000	O
–	917504	O
לפרסם	11259050608885760	O
את	262144	O
היצירה	1095106564	O
או	18014398509678592	O
כל	6452019200	O
חלק	1093009408	O
